,BDG,orders,tickets,cpo,cpt,os,vertical
other_voucher,143200000.0,2848,3673,50280.89887640449,38987.20392050095,0.025872093023255813,bus
other,0,97913,134832,0,0,0.8894712936046512,bus
pr,584400000.0,0,0,0,0,0,bus
sms,1164585960.0,0,0,0,0,0,bus
social,1000000000.0,0,0,0,0,0,bus
display,0.0,0,0,0,0,0,bus
seo,0.0,0,0,0,0,0,bus
offline,0.0,,,,,,bus
total,4602581720.0,110080,150880,41811.24382267442,30504.915959703074,1.0,bus
adwords,0.0,0,0.0,,,0.0,int_flight
loyalty,561600000.0,462,668,1215584.4155844157,840718.5628742515,0.058666666666666666,int_flight
crm,240600000.0,333,553,722522.5225225225,435081.37432188063,0.04228571428571429,int_flight
campaign,1786400000.0,1917,3159,931872.7177882107,565495.4099398544,0.24342857142857144,int_flight
affiliate,99904810.0,90,148,1110053.4444444445,675032.5,0.011428571428571429,int_flight
cross_sell,,,,,,,int_flight
other_voucher,551900000.0,547,814,1008957.9524680073,678009.828009828,0.06946031746031746,int_flight
other,0,4526,7922,0,0,0.5747301587301588,int_flight
pr,720000000.0,0,0,0,0,0,int_flight
sms,641067930.0,0,0,0,0,0,int_flight
social,90000000.0,0,0,0,0,0,int_flight
display,0.0,0,0,0,0,0,int_flight
seo,0.0,0,0,0,0,0,int_flight
offline,0.0,,,,,,int_flight
total,4691472740.0,7875,13264,595742.5701587301,353699.6939083233,1.0,int_flight
adwords,0.0,0,0.0,,,0.0,Inthotel
loyalty,352300000.0,141,384.0,2498581.560283688,917447.9166666666,0.23344370860927152,Inthotel
crm,0.0,0,0.0,0,,0.0,Inthotel
campaign,0.0,0,0.0,0,,0.0,Inthotel
affiliate,0.0,0,0.0,,,0.0,Inthotel
cross_sell,,,,,,,Inthotel
other_voucher,0.0,0,0.0,0,,0.0,Inthotel
other,0,463,1439.0,0,0,0.7665562913907285,Inthotel
pr,0.0,0,0,0,0,0,Inthotel
sms,47802720.0,0,0,0,0,0,Inthotel
social,0.0,0,0,0,0,0,Inthotel
display,0.0,0,0,0,0,0,Inthotel
seo,0.0,0,0,0,0,0,Inthotel
offline,0.0,,,,,,Inthotel
total,400102720.0,604,1823.0,662421.7218543047,219474.88754799782,1.0,Inthotel
adwords,0.0,0,0.0,0.0,0.0,0.0,train
loyalty,26614300.0,170,367.0,156554.70588235295,72518.52861035422,0.011112563733821414,train
crm,0.0,0,0.0,0.0,0.0,0.0,train
campaign,360670300.0,2539,4659.0,142052.10712879087,77413.67246190169,0.165969407765721,train
affiliate,235649500.0,1265,1460.0,186284.18972332016,161403.76712328766,0.08269054778402406,train
other_voucher,24620000.0,256,378.0,96171.875,65132.275132275136,0.016734213622695778,train
display,0.0,0,0.0,0.0,0.0,0.0,train
sms,807075360.0,0,0.0,0.0,0.0,0.0,train
seo,0.0,0,0.0,0.0,0.0,0.0,train
pr,0.0,0,0.0,0.0,0.0,0.0,train
social,500000000.0,0,0.0,0.0,0.0,0.0,train
other,0.0,11068,24236.0,0.0,0.0,0.7234932670937377,train
total,1954629460.0,15298,31100.0,127770.26147208785,62849.821864951766,1.0,train
offline,0.0,0,0.0,0.0,0.0,0.0,train
adwords,,,,,,,brand
loyalty,,,,,,,brand
crm,,,,,,,brand
campaign,,,,,,,brand
affiliate,,,,,,,brand
other_voucher,,,,,,,brand
display,0.0,,,,,,brand
sms,0.0,,,,,,brand
seo,0.0,,,,,,brand
pr,0.0,,,,,,brand
social,587200000.0,,,,,,brand
other,0,,,,,,brand
total,611400000.0,,,,,,brand
offline,24200000.0,,,,,,brand
